Filename ▼,Summary + Labels ▼,Uploaded ▼,ReleaseDate ▼,Size ▼,DownloadCount ▼
Wordmobi-0.9.5-src.zip ,Wordmobi 0.9.5 for Python 2.0 - Source Code   Featured ,May 2011 ,May 2011 ,301 KB ,3955
Wordmobi-0.9.5.sis ,Wordmobi 0.9.5 for Python 2.0   Featured ,May 2011 ,May 2011 ,179 KB ,14534
oauths60twitter.zip ,OAuth twitter demo for S60 ,Sep 2010 ,,13.4 KB ,699
LocaleDemo-1.0.0.sis ,locale demo installer ,Jun 2010 ,,10.7 KB ,379
locale_demo.zip ,locale demo code ,Jun 2010 ,,5.1 KB ,194
PythonOnSymbianBookExampleCode_Ch14AdvNetProg.zip ,PythonOnSymbianBookExampleCode_Ch14AdvNetProg.zip ,May 2010 ,,60.2 KB ,493
PythonOnSymbianBookExampleCode_Ch09BasicNetProg.zip ,PythonOnSymbianBookExampleCode_Ch09BasicNetProg.zip ,May 2010 ,,16.6 KB ,304
adv_netprog.zip ,Python book at Symbian - advanced network chapter examples ,May 2010 ,,58.0 KB ,327
basic_netprog.zip ,Python book at Symbian - basic network chapter examples ,May 2010 ,,13.3 KB ,261
pips.sis ,Pips for Python for S60 2.0   Featured ,May 2010 ,,1.2 MB ,5246
Python_2.0.0.sis ,Python for S60 2.0   Featured ,May 2010 ,,2.0 MB ,11310
Wordmobi-0.9.4-nomgfetch.sis ,Wordmobi 0.9.4 for Python 2.0 (wordmobi media gallery selection) - See issue 63 ,Feb 2010 ,,175 KB ,4093
Wordmobi-0.9.4.sis ,Wordmobi 0.9.4 for Python 2.0 ,Feb 2010 ,,175 KB ,20969
patch.s60.zip ,PyS60 1.9.7 and Symbian.org code diff ,Nov 2009 ,,428 KB ,851
Wordmobi-0.9.2-nomgfetch.sis ,Wordmobi 0.9.2 for Python 1.9.7 (wordmobi media gallery selection) - With bugs. See issue 63 ,Sep 2009 ,,175 KB ,1066
Wordmobi-0.9.2.sis ,Wordmobi 0.9.2 for Python 1.9.7 (Standard S60 media gallery selection) - With bugs. See issue 63 ,Sep 2009 ,,175 KB ,1552
Wordmobi-0.9.3-nomgfetch.sis ,Wordmobi 0.9.3 for Python 1.9.6 (Wordmobi media gallery selection) ,Sep 2009 ,,175 KB ,2515
Wordmobi-0.9.3.sis ,Wordmobi 0.9.3 for Python 1.9.6 (Standard S60 media gallery selection) - Recommended ,Sep 2009 ,,175 KB ,6210
Wordmobi-0.9.2-src.zip ,Wordmobi 0.9.2 for Python 1.9.7 (Source code) ,Sep 2009 ,,136 KB ,274
loc_0.9.2rc1.zip ,0.9.2 RC1 localization files ,Aug 2009 ,,76.2 KB ,135
Wordmobi-0.9.1_ru_preview.sis ,Wordmobi 0.9.1 with Russian translation ,Aug 2009 ,,167 KB ,1612
Python_1.9.7.sis ,Python 1.9.7 runtime ,Aug 2009 ,,3.4 MB ,14080
Wordmobi-0.9.1.sis ,Wordmobi 0.9.1 for Python 1.9.6 ,Jul 2009 ,,163 KB ,4031
Wordmobi-0.9.1-src.zip ,Wordmobi 0.9.1 Source code ,Jul 2009 ,,128 KB ,174
Wordmobi-0.9.1_tst.sis ,Wordmobi 0.9.1 test version for Python 1.9.6 ,Jul 2009 ,,163 KB ,711
Wordmobi-0.9.0-src.zip ,Wordmobi 0.9.0 Source code ,Jul 2009 ,,128 KB ,172
Wordmobi-0.9.0.sis ,Wordmobi 0.9.0 for Python 1.9.6 ,Jul 2009 ,,163 KB ,1181
Python_1.9.6.sis ,Python 1.9.6 runtime ,Jul 2009 ,,3.2 MB ,19138
Python_1.9.5.sis ,Python 1.9.5 runtime ,May 2009 ,,2.8 MB ,4629
Wordmobi-0.8.1-src.zip ,Wordmobi 0.8.1 Source code ,May 2009 ,,150 KB ,402
Wordmobi-0.8.1.sis ,Wordmobi 0.8.1 for Python 1.4.5 ,May 2009 ,,169 KB ,3525
Wordmobi-0.8.1-py19.sis ,Wordmobi 0.8.1 for Python 1.9.5 ,May 2009 ,,1.2 MB ,2007
xmlrpc_disabled.png ,XML RPC disabled error ,Apr 2009 ,,34.0 KB ,1318
Wordmobi-0.7.0-py19.sis ,Wordmobi 0.7.0 for Python 1.9.2 ,Apr 2009 ,,158 KB ,1626
Wordmobi-0.7.0.sis ,Wordmobi 0.7.0 for Python 1.4.5 ,Apr 2009 ,,160 KB ,2111
canvaslistbox_1_0_1.zip ,Demo canvaslistbox 1.0.1 (sis and source) - Python 1.4.5 ,Apr 2009 ,,15.1 KB ,267
CanvasListBox1.0.0.sis ,Demo canvaslistbox (sis) - Python 1.4.5 ,Apr 2009 ,,11.1 KB ,1022
canvaslistbox.zip ,Demo canvaslistbox - Source code ,Apr 2009 ,,3.8 KB ,530
simplejson_2.0.8_s60.zip ,Original simplejson 2.0.8 ported to S60 ,Feb 2009 ,,11.5 KB ,485
wm_locale_demo_1.zip ,Locale demo ,Jan 2009 ,,2.9 KB ,269
remoteshell.sis ,Remote S60 shell   python s60 remote shell ,Oct 2008 ,,8.1 KB ,1425
